Unit ID,Inc #,Location,Latitude,Longitude,Inc Type,Started,Ended,Time Spent
104,18032394,200 WATCHUNG AV,40.619441,-74.420948,HOTSPOT PTRL,6/23/2018 10:56,6/23/2018 11:23,26.48
104,18032409,100 EAST FRONT ST,40.618713,-74.42364,HOTSPOT PTRL,6/23/2018 12:37,6/23/2018 12:42,4.92
101,18033136,609 WEST 4TH ST,40.610671,-74.427575,HOTSPOT PTRL,6/27/2018 8:51,6/27/2018 9:13,22.2
102,18033162,600 PARK AV,40.615518,-74.418489,HOTSPOT PTRL,6/27/2018 11:53,6/27/2018 12:09,15.88
104,18033163,400 EAST FRONT ST,40.6233,-74.418876,HOTSPOT PTRL,6/27/2018 12:24,6/27/2018 12:41,16.47
104,18033871,300 EAST FRONT ST,40.621828,-74.420355,HOTSPOT PTRL,7/1/2018 11:28,7/1/2018 12:34,65.45
103,18034647,538 WEST 7TH ST,40.609464,-74.423818,HOTSPOT PTRL,7/5/2018 8:14,7/5/2018 8:22,8.57
106,18034652,933 EAST FRONT ST,40.63329,-74.41469,HOTSPOT PTRL,7/5/2018 8:33,7/5/2018 9:07,33.6
101,18035670,1521 SOUTH 2ND ST,40.59867,-74.449168,HOTSPOT PTRL,7/10/2018 8:45,7/10/2018 9:05,19.55
106,18035967,1001 EAST 2ND ST,40.632108,-74.410518,HOTSPOT PTRL,7/11/2018 14:54,7/11/2018 15:04,9.92
102,18036135,116 ELMWOOD PL,40.61392,-74.42924,HOTSPOT PTRL,7/12/2018 8:56,7/12/2018 8:57,0.6
102,18036341,116 ELMWOOD PL,40.61392,-74.42924,HOTSPOT PTRL,7/13/2018 10:38,7/13/2018 10:54,16.18
105,18036846,1172 STILFORD AV,40.60804,-74.404608,HOTSPOT PTRL,7/16/2018 14:10,7/16/2018 14:37,26.98
102,18037139,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PTRL,7/18/2018 10:40,7/18/2018 10:52,11.87
103,18037148,515 WEST 7TH ST,40.610026,-74.422863,HOTSPOT PTRL,7/18/2018 11:07,7/18/2018 11:26,19.83
101,18037166,1521 SOUTH 2ND ST,40.59867,-74.449168,HOTSPOT PTRL,7/18/2018 12:35,7/18/2018 13:22,46.63
104,18037263,EAST 2ND ST & WATCHUNG AV,40.61957,-74.42101,PROACTIVE PTRL,7/18/2018 22:57,7/18/2018 23:02,5.07
104,18037307,200 EAST 4TH ST,40.618602,-74.418837,PROACTIVE PTRL,7/19/2018 3:37,7/19/2018 3:47,10.12
